season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2024,REG,ARI,1,00-0035629,T,Jonah Williams,Jonah,Williams,Knee,,Out,,,"
    ",2024-09-08T18:35:57Z
2024,REG,ARI,1,00-0039521,WR,Xavier Weaver,Xavier,Weaver,Oblique,,Out,Oblique,,Did Not Participate In Practice,2024-09-06T19:05:30Z
2024,REG,ARI,1,00-0037141,S,Joey Blount,Joey,Blount,Back,,Questionable,Back,,Limited Participation in Practice,2024-09-06T19:05:21Z
2024,REG,ARI,1,00-0039737,TE,Tip Reiman,Tip,Reiman,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2024-09-06T19:05:21Z
2024,REG,ATL,1,00-0031583,DT,Grady Jarrett,Grady,Jarrett,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-09-06T18:35:04Z
2024,REG,ATL,1,00-0033051,DT,David Onyemata,David,Onyemata,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-09-06T18:35:48Z
2024,REG,ATL,1,00-0037587,LB,Nate Landman,Nate,Landman,,,,Quadricep,,Full Participation in Practice,2024-09-06T18:33:05Z
2024,REG,ATL,1,00-0036970,TE,Kyle Pitts,Kyle,Pitts,,,,Hamstring,,Full Participation in Practice,2024-09-06T18:32:46Z
2024,REG,ATL,1,00-0036948,DE,Ta'Quon Graham,Ta'Quon,Graham,,,,Not injury related - resting player,,Limited Participation in Practice,2024-09-06T18:34:43Z
2024,REG,ATL,1,00-0031279,T,Jake Matthews,Jake,Matthews,,,,Not injury related - resting player,,Limited Participation in Practice,2024-09-06T18:34:09Z
2024,REG,ATL,1,00-0035630,G,Chris Lindstrom,Chris,Lindstrom,Evaluated for a possible head injury and cleared to return. ,,Note,,,"
    ",2024-09-08T17:55:37Z
2024,REG,ATL,1,00-0032933,CB,Antonio Hamilton,Antonio,Hamilton,Groin,,Out,Groin,,Did Not Participate In Practice,2024-09-06T18:36:29Z
2024,REG,BAL,1,00-0031360,LB,Kyle Van Noy,Kyle,Van Noy,gameday concussion protocol evaluation,Eye,Out,,,"
    ",2024-09-06T03:11:40Z
2024,REG,BAL,1,00-0039791,LB,Adisa Isaac,Adisa,Isaac,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2024-09-04T16:29:36Z
2024,REG,BAL,1,00-0039796,RB,Rasheen Ali,Rasheen,Ali,Neck,,Doubtful,Neck,,Limited Participation in Practice,2024-09-04T16:29:28Z
2024,REG,BUF,1,00-0039872,S,Cole Bishop,Cole,Bishop,,,,Shoulder,,Full Participation in Practice,2024-09-07T20:07:55Z
2024,REG,BUF,1,00-0036590,TE,Quintin Morris,Quintin,Morris,,,,Shoulder,,Full Participation in Practice,2024-09-07T20:07:55Z
2024,REG,BUF,1,00-0033282,WR,Curtis Samuel,Curtis,Samuel,,,,Toe,,Full Participation in Practice,2024-09-07T20:07:55Z
2024,REG,BUF,1,00-0033869,QB,Mitchell Trubisky,Mitchell,Trubisky,,,,Knee,,Full Participation in Practice,2024-09-07T20:07:55Z
2024,REG,BUF,1,00-0034376,CB,Taron Johnson,Taron,Johnson,Forearm,,Out,,,"
    ",2024-09-08T18:32:01Z
2024,REG,BUF,1,00-0039879,DE,Javon Solomon,Javon,Solomon,Oblique,,Out,Oblique,,Did Not Participate In Practice,2024-09-06T19:35:04Z
2024,REG,BUF,1,00-0034857,QB,Josh Allen,Josh,Allen,Left Hand,,Questionable,,,"
    ",2024-09-08T20:20:15Z
2024,REG,BUF,1,00-0035537,RB,Ty Johnson,Ty,Johnson,Knee,,Questionable,,,"
    ",2024-09-08T19:22:24Z
2024,REG,BUF,1,00-0033907,DE,Dawuane Smoot,Dawuane,Smoot,Toe,,Questionable,Toe,,Did Not Participate In Practice,2024-09-06T19:35:24Z
2024,REG,CAR,1,00-0031785,CB,Troy Hill,Troy,Hill,,,,Heel,,Full Participation in Practice,2024-09-06T18:14:56Z
2024,REG,CAR,1,00-0035243,RB,Miles Sanders,Miles,Sanders,,,,Finger,,Full Participation in Practice,2024-09-06T18:15:09Z
2024,REG,CAR,1,00-0034365,TE,Ian Thomas,Ian,Thomas,Calf,,Out,Calf,,Did Not Participate In Practice,2024-09-06T18:15:34Z
2024,REG,CAR,1,00-0037005,TE,Tommy Tremble,Tommy,Tremble,Hamstring,Back,Out,Hamstring,Back,Did Not Participate In Practice,2024-09-06T18:15:52Z
2024,REG,CAR,1,00-0035084,T,Yosuah Nijman,Yosuah,Nijman,Tibia,,Questionable,Tibia,,Limited Participation in Practice,2024-09-06T18:16:06Z
2024,REG,CHI,1,00-0039822,T,Kiran Amegadjie,Kiran,Amegadjie,,,,Quadricep,,Full Participation in Practice,2024-09-06T19:09:42Z
2024,REG,CHI,1,00-0035382,C,Ryan Bates,Ryan,Bates,,,,Shoulder,,Full Participation in Practice,2024-09-06T19:09:16Z
2024,REG,CHI,1,00-0039021,RB,Roschon Johnson,Roschon,Johnson,,,,Toe,,Full Participation in Practice,2024-09-06T19:09:51Z
2024,REG,CHI,1,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Full Participation in Practice,2024-09-06T19:09:24Z
2024,REG,CHI,1,00-0038937,DT,Zacch Pickens,Zacch,Pickens,Groin,,Out,Groin,,Did Not Participate In Practice,2024-09-06T19:11:41Z
2024,REG,CHI,1,00-0036413,DE,Darrell Taylor,Darrell,Taylor,Foot,,Questionable,Foot,,Did Not Participate In Practice,2024-09-06T19:11:10Z
2024,REG,CHI,1,00-0030279,WR,Keenan Allen,Keenan,Allen,Heel,,Questionable,Heel,,Full Participation in Practice,2024-09-06T19:11:10Z
2024,REG,CHI,1,00-0035647,DE,Montez Sweat,Montez,Sweat,Toe,,Questionable,Toe,,Full Participation in Practice,2024-09-06T19:11:10Z
2024,REG,CHI,1,00-0033782,DE,DeMarcus Walker,DeMarcus,Walker,Groin,,Questionable,Groin,,Limited Participation in Practice,2024-09-06T19:11:10Z
2024,REG,CIN,1,00-0036442,QB,Joe Burrow,Joe,Burrow,,,,Right Wrist,,Full Participation in Practice,2024-09-06T18:42:33Z
2024,REG,CIN,1,00-0039810,WR,Jermaine Burton,Jermaine,Burton,,,,Toe,,Full Participation in Practice,2024-09-06T18:42:33Z
2024,REG,CIN,1,00-0036298,LB,Akeem Davis-Gaither,Akeem,Davis-Gaither,,,,Not injury related - resting player,,Full Participation in Practice,2024-09-06T18:43:15Z
2024,REG,CIN,1,00-0039908,DT,Kris Jenkins,Kris,Jenkins,Thumb,,Out,Thumb,,Did Not Participate In Practice,2024-09-06T18:45:33Z
2024,REG,CIN,1,00-0039925,T,Amarius Mims,Amarius,Mims,Pectoral,,Out,Pectoral,,Did Not Participate In Practice,2024-09-06T18:45:51Z
2024,REG,CIN,1,00-0036410,WR,Tee Higgins,Tee,Higgins,Hamstring,,Doubtful,Hamstring,,Did Not Participate In Practice,2024-09-06T18:45:18Z
2024,REG,CIN,1,00-0036900,WR,Ja'Marr Chase,Ja'Marr,Chase,Not injury related - resting player,,Questionable,Not injury related - resting player,,Full Participation in Practice,2024-09-06T18:45:00Z
2024,REG,CLE,1,00-0032129,LB,Jordan Hicks,Jordan,Hicks,,,,Calf,,Full Participation in Practice,2024-09-06T19:01:02Z
2024,REG,CLE,1,00-0034746,DT,Maurice Hurst,Maurice,Hurst,,,,Hamstring,,Full Participation in Practice,2024-09-06T19:01:11Z
2024,REG,CLE,1,00-0032416,DE,Quinton Jefferson,Quinton,Jefferson,,,,Achilles,,Full Participation in Practice,2024-09-06T19:01:19Z
2024,REG,CLE,1,00-0036407,WR,Jerry Jeudy,Jerry,Jeudy,,,,Knee,,Full Participation in Practice,2024-09-06T19:00:44Z
2024,REG,CLE,1,00-0036915,"
    ",Jeremiah Owusu-Koramoah,Jeremiah,Owusu-Koramoah,,,,Hand,,Full Participation in Practice,2024-09-06T19:00:44Z
2024,REG,CLE,1,00-0039406,LB,Nathaniel Watson,Nathaniel,Watson,,,,Quadricep,,Full Participation in Practice,2024-09-06T19:01:34Z
2024,REG,CLE,1,00-0037251,DE,Alex Wright,Alex,Wright,,,,Elbow,,Full Participation in Practice,2024-09-06T19:00:44Z
2024,REG,CLE,1,00-0037257,WR,David Bell,David,Bell,,,,Quadricep,,Limited Participation in Practice,2024-09-05T19:34:16Z
2024,REG,CLE,1,00-0033546,DT,Dalvin Tomlinson,Dalvin,Tomlinson,,,,Knee,,Limited Participation in Practice,2024-09-06T19:00:44Z
2024,REG,CLE,1,00-0038711,"
    ",Mohamoud Diabate,Mohamoud,Diabate,Hip,,Out,,,"
    ",2024-09-08T22:29:24Z
2024,REG,CLE,1,00-0036634,"
    ",Tony Fields,Tony,Fields,Ankle,,Out,,,"
    ",2024-09-08T23:25:53Z
2024,REG,CLE,1,00-0036267,T,Jedrick Wills,Jedrick,Wills,Knee,,Out,Knee,,Limited Participation in Practice,2024-09-06T19:03:50Z
2024,REG,CLE,1,00-0033885,TE,David Njoku,David,Njoku,Ankle,,Questionable,,,"
    ",2024-09-08T22:31:41Z
2024,REG,CLE,1,00-0033057,T,Jack Conklin,Jack,Conklin,Knee,,Questionable,Knee,,Limited Participation in Practice,2024-09-06T19:03:33Z
2024,REG,DAL,1,00-0039387,CB,Caelen Carson,Caelen,Carson,,,,Knee,,Full Participation in Practice,2024-09-06T18:49:06Z
2024,REG,DAL,1,00-0037281,LB,Damone Clark,Damone,Clark,,,,Knee,,Full Participation in Practice,2024-09-06T18:49:06Z
2024,REG,DAL,1,00-0039900,DE,Marshawn Kneeland,Marshawn,Kneeland,,,,Knee,,Full Participation in Practice,2024-09-06T18:49:06Z
2024,REG,DAL,1,00-0038545,DT,Mazi Smith,Mazi,Smith,,,,Achilles,,Full Participation in Practice,2024-09-06T18:49:06Z
2024,REG,DAL,1,00-0037578,S,Juanyeh Thomas,Juanyeh,Thomas,,,,Groin,,Full Participation in Practice,2024-09-06T18:49:06Z
2024,REG,DAL,1,00-0038741,TE,John Stephens,John,Stephens,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2024-09-06T18:49:48Z
2024,REG,DAL,1,00-0038041,TE,Jake Ferguson,Jake,Ferguson,Knee,,Questionable,,,"
    ",2024-09-08T22:57:24Z
2024,REG,DAL,1,00-0031554,LB,Eric Kendricks,Eric,Kendricks,Dehydration,,Questionable,,,"
    ",2024-09-08T23:17:06Z
2024,REG,DAL,1,00-0036661,S,Israel Mukuamu,Israel,Mukuamu,Illness,,Questionable,Groin,,Full Participation in Practice,2024-09-08T23:14:18Z
2024,REG,DEN,1,00-0033538,T,Garett Bolles,Garett,Bolles,Ankle,,Questionable,,,"
    ",2024-09-08T23:09:58Z
2024,REG,DET,1,00-0039448,S,Loren Strickland,Loren,Strickland,Thumb,,Out,Thumb,,Did Not Participate In Practice,2024-09-06T19:43:27Z
2024,REG,DET,1,00-0036993,S,Ifeatu Melifonwu,Ifeatu,Melifonwu,Ankle,,Doubtful,Ankle,,Limited Participation in Practice,2024-09-06T19:41:50Z
